season,player_id,player_display_name,position,team,games_played,age,years_exp,draft_number,value_score,value_epa_total,position_season_percentile,salary_millions,salary_source,contract_player,contract_team,year_signed,years,apy,apy_cap_pct,inflated_apy,value_per_million,epa_per_million,salary_percentile,value_cost_percentile_gap,expected_value_given_salary,value_above_expected_salary,salary_efficiency_percentile,salary_efficiency_tier,has_salary,salary_match_status,salary_interpretation
2021,00-0033854,Dare Ogunbowale,RB,JAX,13,27,4,,-0.488479320324,-11.4746620443,0.232558139535,1.402849,inflated_apy,Dare Ogunbowale,Jaguars,2021,1,0.85,0.005,1.402849,-0.348205202644,-8.17954180694,0.209677419355,0.02288072018,-0.0852738567745,-0.403205463549,0.258064516129,Below Average,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2021,00-0033856,Leonard Fournette,RB,TB,14,26,4,4,0.955201424884,7.98503734415,0.891472868217,5.363836,inflated_apy,Leonard Fournette,Buccaneers,2021,1,3.25,0.018,5.363836,0.178081772986,1.48868036684,0.858870967742,0.0326019004751,0.229435593606,0.725765831278,0.790322580645,Above Average,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2021,00-0033857,JuJu Smith-Schuster,WR,PIT,5,25,4,62,-0.970419791554,-7.47057417572,0.0833333333333,13.203288,inflated_apy,JuJu Smith-Schuster,Steelers,2021,1,8,0.044,13.203288,-0.0734983431062,-0.565811650532,0.866834170854,-0.783500837521,-0.0291992249857,-0.941220566568,0.070351758794,Low Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2021,00-0033858,Jonnu Smith,TE,NE,16,26,4,100,-1.27265084697,-9.54297332148,0.045871559633,20.630137,inflated_apy,Jonnu Smith,Patriots,2021,4,12.5,0.068,20.630137,-0.061688918836,-0.462574403722,0.956730769231,-0.910859209598,0.76067474792,-2.03332559489,0.00961538461538,Low Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2021,00-0033869,Mitchell Trubisky,QB,BUF,5,27,4,2,-0.382032488602,-5.51558794422,0.368421052632,4.126027,inflated_apy,Mitchell Trubisky,Bills,2021,1,2.5,0.014,4.126027,-0.0925908843063,-1.33677941134,0.368421052632,0,-0.52538190137,0.143349412769,0.543859649123,Average,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2021,00-0033871,Corey Davis,WR,NYJ,9,26,4,5,-0.641331714221,-0.834799230175,0.269607843137,20.630137,inflated_apy,Corey Davis,Jets,2021,3,12.5,0.068,20.630137,-0.0310871282251,-0.0404650356987,0.909547738693,-0.639939895556,0.282837109846,-0.924168824068,0.0804020100503,Low Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2021,00-0033873,Patrick Mahomes,QB,KC,17,26,4,10,2.34015928249,153.115897829,1,68.385469,inflated_apy,Patrick Mahomes,Chiefs,2020,10,45,0.227,68.385469,0.0342201247825,2.23901217712,0.982456140351,0.0175438596491,0.897257694893,1.44290158759,0.947368421053,High Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2021,00-0033879,O.J. Howard,TE,TB,10,27,4,19,-0.228096376586,3.82030609101,0.504587155963,,,,,,,,,,,,,,,,,,False,missing_contract,
2021,00-0033881,Evan Engram,TE,NYG,15,27,4,23,-1.48601252545,-12.2725693419,0.0275229357798,,,,,,,,,,,,,,,,,,False,missing_contract,
2021,00-0033885,David Njoku,TE,CLE,15,25,4,29,1.11488248866,21.0014128022,0.908256880734,,,,,,,,,,,,,,,,,,False,missing_contract,
