overall_rank,player_id,player_display_name,position,primary_team_2025,predicted_2026_fantasy_points_ppr,prediction_interval_low,prediction_interval_high,replacement_points,vorp,vorp_low,vorp_high,auction_value,adp,adp_formatted,adp_overall_rank,edge_vs_adp,bye,adp_total_drafts,adp_window_end,is_rookie_projection
321,00-0036415,Van Jefferson,WR,TEN,41.0375398352,0,116.836893552,134.583314587,-93.5457747518,-134.583314587,-17.746421035,1,,,,,,,,False
322,00-0041446,Kendrick Law,WR,DET,40.8112223239,0,79.8961338217,134.583314587,-93.7720922631,-134.583314587,-54.6871807653,1,,,,,,,,True
323,00-0039757,Terrell Jennings,RB,NE,34.3101498183,0,110.646245161,128.207979266,-93.8978294477,-128.207979266,-17.561734105,1,,,,,,,,False
324,00-0039792,Devontez Walker,WR,BAL,40.6712238405,0,117.24137528,134.583314587,-93.9120907465,-134.583314587,-17.341939307,1,,,,,,,,False
325,00-0041077,Justin Joly,TE,DEN,34.0763639166,10.3446839265,56.4957530779,128.111253946,-94.0348900294,-117.76657002,-71.6155008681,1,,,,,,,,True
326,00-0040890,Cyrus Allen,WR,KAN,40.5180410524,0,76.1621668047,134.583314587,-94.0652735346,-134.583314587,-58.4211477823,1,,,,,,,,True
327,00-0040277,Jahdae Walker,WR,CHI,40.461050908,0,117.43853891,134.583314587,-94.122263679,-134.583314587,-17.144775677,1,,,,,,,,False
328,00-0040218,Jimmy Horn Jr.,WR,CAR,40.2592760894,0,116.097583345,134.583314587,-94.3240384976,-134.583314587,-18.485731242,1,,,,,,,,False
329,00-0040556,Corey Kiner,RB,ARI,33.869328667,0,110.047533011,128.207979266,-94.338650599,-128.207979266,-18.160446255,1,,,,,,,,False
330,00-0033119,Jacoby Brissett,QB,ARI,132.273042229,49.9051528023,214.640931655,227.064343853,-94.791301624,-177.159191051,-12.423412198,1,,,,,,,,False
331,00-0040743,Tyler Shough,QB,NO,132.240456861,55.6114032518,208.86951047,227.064343853,-94.823886992,-171.452940601,-18.194833383,1,153.3,13.09,142,-189,8,943,2026-07-04,False
332,00-0037741,Jahan Dotson,WR,PHI,39.7167078329,0,115.45576126,134.583314587,-94.8666067541,-134.583314587,-19.127553327,1,,,,,,,,False
333,00-0023459,Aaron Rodgers,QB,PIT,131.520002865,54.5872296576,208.452776073,227.064343853,-95.544340988,-172.477114195,-18.61156778,1,,,,,,,,False
334,00-0040009,Savion Williams,WR,GB,38.985062411,0,115.275875652,134.583314587,-95.598252176,-134.583314587,-19.307438935,1,,,,,,,,False
335,00-0040259,Gage Larvadain,WR,CLE,38.661648635,0,115.478879816,134.583314587,-95.921665952,-134.583314587,-19.104434771,1,,,,,,,,False
336,00-0036422,Adam Trautman,TE,DEN,31.6094872652,0,107.533722705,128.111253946,-96.5017666808,-128.111253946,-20.577531241,1,,,,,,,,False
337,00-0037563,Malik Davis,RB,DAL,31.6922784542,0,107.768521756,128.207979266,-96.5157008118,-128.207979266,-20.43945751,1,,,,,,,,False
338,00-0040676,Cam Ward,QB,TEN,130.511575804,34.5640111487,226.45914046,227.064343853,-96.552768049,-192.500332704,-0.605203393,1,,,,,,,,False
339,00-0032211,Tyler Lockett,WR,LV,37.9352198094,0,113.899018526,134.583314587,-96.6480947776,-134.583314587,-20.684296061,1,,,,,,,,False
