player_id,player_display_name,position,rookie_year,draft_number,draft_club,college,predicted_p_plays_meaningfully,predicted_ppr_per_game_if_plays_mean,predicted_games_played,predicted_season_ppr_mean,predicted_season_ppr_p10,predicted_season_ppr_p25,predicted_season_ppr_p75,predicted_season_ppr_p90
00-0041524,Will Kacmarek,TE,2026,87,MIA,Ohio St.,0.924340744835,4.75089741435,9.37013158273,44.7500710373,15.0278786097,29.3786064831,59.9247860455,74.7339801278
00-0041503,Nate Boerkircher,TE,2026,56,JAX,Texas A&M,0.956403460894,4.54586786621,9.69515443826,44.4923401669,12.3030477542,27.340202128,60.7949352407,76.5352930872
00-0041446,Kendrick Law,WR,2026,168,DET,Kentucky,0.814865524626,4.29980240095,9.04350757085,40.8112223239,0,17.7418504966,61.099749928,79.8961338217
00-0040890,Cyrus Allen,WR,2026,176,KAN,Cincinnati,0.743670359387,4.72535939675,8.25337227074,40.5180410524,0,19.1866740095,59.7046979163,76.1621668047
00-0041129,Jam Miller,RB,2026,245,NWE,Alabama,0.665029870126,5.2763444634,7.19186311027,39.2019184954,1.97064221471,18.6863302539,56.8366787614,75.4861199002
00-0041099,Barion Brown,WR,2026,190,NOR,LSU,0.725949122286,4.50368890807,8.0566991547,37.5628764861,0,16.742736798,54.8838906893,73.3494898214
00-0041117,Athan Kaliakmanis,QB,2026,223,WAS,Rutgers,0.375065759462,9.29362929391,3.86377266493,36.0862677366,11.0520760933,21.3217831772,48.4584794927,63.2401218633
00-0040894,Malik Benson,WR,2026,195,LVR,Oregon,0.68495479563,4.50326843147,7.6017375785,35.6152335616,0,16.0928650726,52.361412622,69.6795542453
00-0040895,Emmanuel Henderson Jr.,WR,2026,199,SEA,Kansas,0.644839667963,4.61045920202,7.15653349291,34.2527617531,0.261517689519,16.1228410256,49.5715063802,65.3806552503
00-0041077,Justin Joly,TE,2026,152,DEN,North Carolina St.,0.720691387036,4.63475043976,7.30571833471,34.0763639166,10.3446839265,21.6978908475,46.0901576452,56.4957530779
00-0041399,CJ Daniels,WR,2026,197,LAR,Miami (FL),0.623449417961,4.66518296401,6.91914108646,33.3858853249,0.0723778937879,14.9624428611,49.1919662989,64.8466775983
00-0041100,Josh Cameron,WR,2026,191,JAX,Baylor,0.634908021155,4.3674405093,7.04631049245,32.164327952,0,13.7279149763,47.9756448351,63.4315535592
00-0041467,Lewis Bond,WR,2026,204,HOU,Boston Col.,0.631741008441,4.28050861128,7.01116248018,31.502398132,0,12.4428406749,47.058417193,63.4093888837
00-0041106,CJ Williams,WR,2026,203,JAX,Stanford,0.605333148779,4.27983257663,6.71808384136,30.1712924583,0,12.3158775272,44.9079034761,60.3500901059
00-0040887,Josh Cuevas,TE,2026,173,BAL,Alabama,0.675029888731,4.24009167302,6.84284330753,29.3302435131,7.60785926576,17.2453023929,40.2126869332,51.1417102162
00-0040891,Cole Payton,QB,2026,178,PHI,North Dakota St.,0.294971009903,9.43771258834,3.03866960995,28.7965446263,8.8921274722,16.9688474369,38.4865868084,50.12260897
00-0041123,Behren Morton,QB,2026,234,NWE,Texas Tech,0.291859262107,9.02221613551,3.00661366837,27.40539959,7.56956809483,15.7016233765,37.0520823579,49.0773469038
00-0041081,Max Bredeson,TE,2026,159,MIN,Michigan,0.74269896058,3.34930680737,7.52881123749,25.9746412253,1.39015316005,12.8553846869,37.3676777151,49.083013623
00-0040900,Anthony Smith,WR,2026,218,DAL,East Carolina,0.5454112719,4.01924892118,6.05306129366,25.8734392047,0,9.38631037364,38.6678077308,52.949327336
00-0040879,Matthew Hibner,TE,2026,133,BAL,SMU,0.721046726125,3.28958547575,7.30932044144,24.9322746028,0.823255612933,11.8012375632,36.6632184911,48.0775416585
00-0040906,Garrett Nussmeier,QB,2026,249,KAN,LSU,0.262864889063,8.98747595851,2.70792560321,24.5774042292,6.52638114715,13.6672545743,33.4946712983,44.1813384424
00-0041092,Taylen Green,QB,2026,182,CLE,Arkansas,0.232143172172,10.1184757854,2.3914431546,24.2151571385,6.46695939721,12.0174694422,32.9973569475,46.3725536019
00-0041125,Seth McGowan,RB,2026,237,IND,Kentucky,0.46442957326,3.90494814806,5.02250209394,21.518937246,0,5.98753488844,33.1072733823,45.8348237509
00-0041084,Tanner Koziol,TE,2026,164,JAX,Houston,0.47362869813,4.2315006715,4.80121994798,20.5922124164,5.09759576422,12.0060044058,28.3384196713,36.8378799319
00-0041132,Deion Burks,WR,2026,254,IND,Oklahoma,0.474710260028,3.52543137312,5.26841018645,20.2474023802,0,5.46815495303,31.4486514808,43.1722333236
00-0040901,Jaren Kanak,TE,2026,225,TEN,Oklahoma,0.515460381726,3.79591655909,5.22527177282,20.2281953573,3.33813949016,10.7472100511,28.7138270502,37.1494246223
00-0041398,Riley Nowakowski,TE,2026,169,PIT,Indiana,0.627310698476,2.69752048451,6.35910925794,18.2652780511,0,6.39269363474,27.7355267617,37.9130382598
00-0041094,Bauer Sharp,TE,2026,185,TAM,LSU,0.475644826185,3.53247428782,4.82165763318,17.3954584017,2.26196738267,9.10564963693,24.7906587467,31.8830036025
00-0041116,Jack Endries,TE,2026,221,CIN,Texas,0.412861121658,3.97409830593,4.18521314455,16.8651160191,3.47617968196,9.27957785581,23.4584804941,30.563427478
00-0041087,Joe Royer,TE,2026,170,CLE,Cincinnati,0.533180860768,2.90162028692,5.40490598376,16.5039515448,0,6.2079402177,24.9912434575,33.7246643492
00-0041131,Carsen Ryan,TE,2026,248,CLE,BYU,0.395022628716,3.08165956605,4.00438261529,12.9791784276,0,4.82977244882,19.0002546923,26.4627825752
00-0041133,Dallen Bentley,TE,2026,256,DEN,Utah,0.163809851923,1.44984360413,1.66055632151,3.11647357054,0,0,4.96747712534,7.86327613741
